train_x,train_y
"敦实亲王，是日本平安时代初期及中期的皇族，生父母是堀河天皇及赠位赠皇太后藤原胤子，醍醐天皇的同母弟。
",4
"阮氏第一代领袖阮淦寻得后黎朝黎昭宗昭宗之子，并迎立至哀牢立为帝，恢复后黎朝，是为后黎庄宗黎庄宗。
",2
"吴珊卓曾与独立制片导演亚历山大潘恩于2003结婚， 于2006年离异。
",1
"在加入乔治亚理工学院之前，迈克尔逊效力于位于华盛顿的美国海军研究实验室，参与设计了基于计算机的太空海洋雷达监视系统，并完成其大气层内的飞行测试。
",5
"石崎传蔵，超级人瑞，曾是日本史上最年长男性。
",2
"岐国大长公主，是中国五代十国后晋开国皇帝高祖石敬瑭第十二妹。
",4
"1967年，李远哲去哈佛大学在赫施巴赫的指导下进行博士后研究。
",5
"演员山姆沃辛顿饰演主角英雄珀尔修斯，连恩尼逊饰演宙斯，其他演员有雷夫范恩斯、艾莉莎黛娃洛丝等人演出。
",2
"王介甫，台湾网球选手，毕业于新北市立三重高级中学新北市立三重高中。
",0
"据乔治马司培罗的考证，制蓬峩是继茶和布底之后的占婆君主。
",0
"圣依搦斯蒙难堂是意大利罗马的一座罗马天主教宗座圣殿，始建于1652年，由卡罗拉伊纳尔迪设计，座落在圣雅妮圣女依搦斯殉难的地点图密善圆环，即今天的纳沃纳广场。
",0
"庞特斯韦布林是瑞典的一位足球运动员。
",0
"小林忠生，日本足球运动员，前日本国家足球队成员。
",0
"子野是鲁襄公的庶子，鲁昭公和鲁定公之兄，母为敬归。
",1
"南朝宋顺帝升明初年，萧道成担任骠骑将军时，慕其文名，引为记室参军，和江淹同在幕中对掌辞笔。
",0
"秦始皇政前247年前210年赵姬帝太后邯郸人秦庄襄王。
",3
"7月28日赛米埃尔登，土耳其职业篮球运动员。
",0
"1940年布赖恩德帕尔马，美国电影导演、编剧。
",0
"不过在李树斌成为球队新任主教练后，又马上召回姜鹏翔参加集训以备战2013年中国足球超级联赛。
",0
"陆逊之子陆抗葬父，还都谢恩，孙权令中使以杨竺告陆逊的二十条罪状责问陆抗，陆抗一一回答，孙权才渐渐消除对陆逊的怀疑。
",2
"松平定信，日本江户时代的政治人物之一，大名。
",0
"吴大猷学术基金会于2013年11月22日发表声明，称科普翻译奖有严格的三阶段初选、复选、决选机制，评审包括多位中央研究院院士以及大学教授，曾志朗院士也是决选委员之一，但只参与创作类评审，在讨论到翻译类评奖之前，因洪兰教授的译作也入围决选，曾院士即离席回避，有关翻译类入围书籍的讨论和决定皆未参加，由其他委员秉持科普理念深入讨论后，决定当届获奖名单。
",1
"保罗伯格1980年诺贝尔化学奖得主，现在在斯坦福大学任教。
",5
"文丁是帝乙、比干、箕子的父亲。
",2
"他和伊丽莎白伍德维尔生有十个孩子，只有七个成年。
",2
"马里诺德芬迪1985年8月19日生于贝尔加莫，意大利足球运动员，司职前锋 前锋。
",0
"前36年之后还与克丽奥佩脱拉生下小儿子托勒密费拉德尔甫斯，并在亚历山卓置家。
",2
"惠子，即惠施，宋国人，战国时期政治家、辩客和哲学家，是名家的代表人物。
",0
"陈毅维，台湾足球运动员，职司中场或后卫 后卫，毕业于国立台湾体育学院，并于2011年加入台电足球队。
",0
"菊原志郎，日本足球运动员，前日本国家足球队成员。
",0
"长泽和明乃日本足球运动员、前日本国家足球队成员，长女为女演员长泽雅美。
",0
"法兰西斯科德奥雷亚纳是西班牙征服者，第一位全程航行亚马逊河的人。
",6
"韩镕泽自幼离开家乡沉阳加入鲁能泰山足球学校，2011年随山东鲁能泰山梯队以山东省男子队 山东青年的名义参加2011年中国足球乙级联赛。
",0
"迪克逊大学就读德州大学奥斯汀分校，受乔治布鲁斯赫尔斯泰德教授的鼓励下，迪克逊以数学为其专业。
",6
"香港足球评述员协会于每年临近圣诞节期间举行晚宴，于2011年首次举行互选我最爱的讲波佬，三甲结果为李德能、蔡育瑜、黄兴桂和郑兆聪。
",0
"妻子胡海清是中国共产党和中华人民共和国前任领导人胡锦涛之女。
",3
"王敞，王裁之子，王导之弟。
",4
"梅里美生于法国巴黎一个知识分子家庭，家境富裕。
",0
"施宜生少年时考取乡贡入太学，北宋政和 政和四年为监生，任颍州教授。
",0
"异母兄弟后圆融天皇永助法亲王尧性法亲王尧仁法亲王亮仁法亲王行助法亲王某皇子觉增法亲王觉叡法亲王道圆法亲王圣助法亲王宽守法亲王宽教法亲王某皇子。
",4
"波阿斯和路得的儿子是俄备得，俄备得是耶西的父亲、大卫的祖父。
",2
"后来李氏向辽道宗进挟谷歌，道宗感悟，召耶律延禧、耶律延寿兄妹还宫。
",4
"陆抗娶张承女，有6名儿子，分别为陆晏、陆景、陆玄、陆机、陆云和陆耽。
",3
"1966年比利亚隆加率领西班牙队参加了1966年世界杯足球赛世界杯，首战输给了阿根廷国家足球队阿根廷，在21战胜瑞士国家足球队瑞士之后，又以12输给了哈密特舍恩执教的德国国家足球队西德，小组赛未能出线。
",6
"陈云英，生于台湾台北市，现居住于中国大陆，中华民国叛国军官林毅夫之妻。
",1
"崔凯是2004年辽足张曙光以180万自大连毅腾收购的8名球员之一。
",0
"穆罕默德卡迪尔，非洲多哥足球运动员，为多哥国家足球队历史上首位在世界杯比赛取得入球的球员。
",0
"施维奴荷西简鲁图，，巴西职业足球运动员，现已退役。
",0
"齐藤和夫，日本足球运动员，前日本国家足球队成员。
",0
"小行星317以亚历山大大帝的第一任妻子罗克珊娜命名。
",1
"1978年2月24日梁启超子女梁思庄、梁思达、梁思懿、梁思宁、梁思礼将墓地全部无偿转交给北京植物园。
",3
"由于杜松芒波杰年龄尚幼，唐与吐蕃战争唐与吐蕃的战争又十分激烈，重臣皆统兵在外，因此吐蕃保密了芒松芒赞的死讯三年，使唐朝不知道吐蕃的权力的真空。
",3
"2000年，17岁的孙寿博进入了实德三队，年底升入二队，次年代表大连赛德隆出战中乙。
",0
"当郑少秋发言时，台下大部分观众均要求郑少秋收声，结果需要其女儿郑欣宜为其打圆场。
",2
"嘉靖三十八年，杨慎客死异乡，黄娥亲自奔丧到沪州，扶着丈夫的棺木回到故里安葬。
",1
"2007年，申花联城合并联城与上海申花合并，殷锡福再次回到了上海申花。
",0
"埃马纽埃尔珀蒂，法国人，乃一名已退役足球运动员，司职中场。
",0
"父母  父松平赖真、母即就院养父松平赖起。
",4
"杜松芒波杰死后，由其与綝妃赞蒙多所生的儿子赤德祖赞继位，并由祖母没庐氏赤玛类再度听政。
",2
"申思小学开始一直就读于上海多个传统足球特色学校，从上海平凉路第四小学平凉路四小转学到止园路小学，此后进入上海杨浦足球学校杨浦白洋淀足校，1985年进入上海市少体校，毕业后进入上海市体工队、上海队。
",0
"2012赛季开赛前，上海申花俱乐部大手笔地引进了法国球星尼古拉阿内尔卡与法国名帅让蒂加纳，使得球队的联赛夺冠呼声甚至超过了卫冕冠军广州恒大。
",0
"澳门特别行政区立法会立法会主席贺一诚。
",0
"该队于1897年由法国足坛名宿儒勒雷米创办。
",6
"邓英敏亦为2005年香港小姐最上镜小姐邓上文之父亲。
",2
"罗拔图卡蒙菲利克斯，是巴西的足球运动员，司职前锋。
",0
"唐太宗李世民626年649年太穆皇后窦氏太穆皇后平陵唐高祖李渊窦毅之女，也作纥豆陵毅，母襄阳长公主宇文氏。
",1
"萧妙䂮另有两位同母兄弟哀太子萧大器、南郡王萧大连，但三人之间的长幼排序不明。
",4
"1917年黎锦熙的国语研究会与北京大学国文门研究所国语部钱玄同、刘半农、胡适等联合讨论国语统一之事，国语研究会会长蔡元培校长出席指导。
",6
"加雷，全名埃塞基耶尔马些路加雷，是一名阿根廷足球运动员，效力葡超球会宾菲加，司职中坚，间中也会客串右闸。
",0
"金明哲，朝鲜职业足球运动员，入选朝鲜国家足球队。
",0
"乔子女王天保11年1月16日，江户幕府第12代征夷大将军将军德川家庆的嫡庶正室。
",1
"阿恩邓肯是第9任美国教育部长，以前是芝加哥公立学校的主管。
",0
"釜本邦茂为日本国家队入球数最多的球员。
",0
"其后严化患肝癌去世，其母红薇于秦沛11岁时开始改嫁制片人尔光。
",2
"乌汶叻公主，生于瑞士洛桑，泰国公主及女演员，泰国国王普密蓬阿杜德普密蓬和诗丽吉王后的长女。
",2
"北京林业大学梁希杯系列竞赛是北京林业大学知名的学生科技竞赛活动，从2003年开始举办，每年举办一次。
",6
"本书出版后，受到陈永贵亲属的反对，认为书中存在大量不切实的描述，侵害陈永贵的名誉权，由北京市第一中级人民法院审理，判吴思败诉，赔偿原告2万元。
",6
"达维云达贝治一般称作云达贝治，1976年5月7日生于阿姆斯特丹，荷兰职业足球运动员，现效力于美国职业足球大联盟球会纽约红牛。
",0
"居里奥纳塔，意大利化学家，在聚合反应的催化剂研究上作出很大贡献，因此与德国化学家卡尔齐格勒共同获得1963年诺贝尔化学奖。
",6
"琅邪阳都人，诸葛瑾的孙子，诸葛恪的幼子，诸葛绰和诸葛竦的弟弟。
",3
"3月19日公民党成立，由香港中文大学关信基教授出任党主席、余若薇议员任党魁，创党成员逾百人。
",5
"阿尔伯特曾经代表匈牙利国家队参加1960年夏季奥林匹克运动会1960年奥运会、1962年世界杯足球赛、1964年欧洲国家杯、1966年世界杯足球赛和1972年欧洲足球锦标赛。
",6
"阿尔西诺伊三世，是托勒密三世及其第四任妻子贝勒尼基二世的女儿。
",2
"肖智，中国足球运动员，司职前锋 前锋，现效力于河南建业。
",0
"1985年崔建军，中国排球运动员。
",0
"邵庚于1972年出生于天津市，少年时期曾经进入北京部队队训练比赛。
",0
"周王季季历太姜有邰氏之女古公亶父。
",2
"诸葛亮与弟诸葛均及姊姊由叔父诸葛玄收养，其兄诸葛瑾同继母赴江东。
",4
"1933年董作宾在甲骨文断代研究例中提出的十项标准，即世系、称谓、贞人、坑位、方国、人物、事类、文法、字形、书体，其核心断代标准是世系、称谓、贞人，并依此把甲骨文分为五期第一期武丁及以前，第二期祖庚、祖甲第三期癛辛、康丁第四期 武乙、文丁第五期帝乙、帝辛。
",3
"最后宙斯或者卡利俄珀出面调停，决定让阿多尼斯每年四个月与阿佛洛狄忒待在一起，四个月与珀耳塞福涅待在一起，剩下的四个月里他可以自由决定。
",2
"杜斯山度士早于2007年便入选墨西哥国家足球队成为大国脚，在2009年也入选2009年美洲金杯的国家队名单，在赛事中合共射入两球及交出多次助攻，表现出色，协助墨西哥国家足球队墨西哥羸得第五次美洲金杯冠军。
",0
"2014年7月，梁岩峰与高久龙一同被租借到中国足球乙级联赛球队南京钱宝半个赛季。
",0
"蒋友青，蒋中正曾孙，蒋经国之三子蒋孝勇与妻方智怡三子。
",1
"朝鲜王朝朝鲜宪宗宪宗之母神贞王后赵氏的姻亲，原为丰壤赵氏的得力部将。
",3
"2012赛季开赛前，上海申花俱乐部大手笔地引进了法国球星尼古拉阿内尔卡与法国名帅让蒂加纳，使得球队的联赛夺冠呼声甚至超过了卫冕冠军广州恒大。
",0
"而且这份名单只局限于当代球员，对于一些去世的伟大球员却视而不见，例如巴西着名前锋加林查就未能出现在名单上。
",0
"明仁继宫明仁亲王  1933年12月23日  1959年4月10日  美智子正田美智子  德仁亲王秋篠宫文仁亲王黑田清子纪宫清子内亲王。
",3
"宇佐美贵史是一位日本足球运动员，效力于大坂飞脚，为教练西野朗所赏识，仅17岁又14天参加亚足联冠军联赛亚冠联赛便取得进球，打破稻本润一所创队史最年轻进球纪录，英超的托特纳姆热刺亦对他感兴趣。
",0
"阿历斯索天卡一般称作索天卡，1977年1月22日生于锡比乌罗马尼亚职业足球运动员，曾效力于美国职业足球大联盟球会美国芝华士。
",0
"1947年，在贝尔实验室工作的威廉肖克利、约翰巴丁和沃尔特布喇顿发明了固态电子器件固态电晶体。
",5
"堂侄孙俞正声，是俞启威三子，是现任中共中央政治局常务委员、全国政协主席。
",2
"不久，北魏再度以叔孙建为中领军率军讨伐，胡众不敌，刘虎于逃亡途中为随从所杀。
",6
"义归公主嫁给了李远的儿子李基，李基尚义归公主。
",1
"同光二年四月，朝廷本来已经拟定要授符存审宣武节度使、蕃汉马步军总管，可惜诏告未至，存审五月十五日便卒于幽州官舍，时年六十三，及后下葬于太原。
",6
"世界杯后韦健士继续在新任英格兰足球代表队英格兰教头博比罗布森卜比笠臣麾下担当重任，在卜比笠臣执教的首场比赛，于1982年9月22日对丹麦国家足球队丹麦的1984年欧洲足球锦标赛1984年欧国杯外围赛将队长 队长臂章交给韦健士，但英格兰最终在外围赛以1分之微不及丹麦而无缘晋级决赛周。
",6
"马尔基西奥出生，成长在都灵附近的一个小镇。
",0
"梁明日，朝鲜职业足球运动员，入选过朝鲜国家奥运足球队及朝鲜国家足球队。
",0
"剑桥大学卢卡斯数学教授席位卢卡斯数学教授史蒂芬霍金现在是剑桥大学剑桥大学冈维尔与凯斯学院哪所学院的院士。
",5
"后藤靱雄，日本足球运动员，前日本国家足球队成员。
",0
"女丰臣完子完子、德川千姬千姬、德川珠姬珠姬、德川胜姬胜姬、德川初姬初姬、德川和子和子。
",4
"高原郁夫，日本足球运动员，前日本国家足球队成员。
",0
"祖素的足球事业始于巴西国内球队戈亚斯体育会戈亚斯，2005年转会至圣保罗足球俱乐部圣保罗，期间为圣保罗赢得巴甲冠军、南美自由杯和世界冠军球会杯。
",0
"李家维现任教于国立清华大学生命科学系、并且是台湾中文版科学人杂志总编辑。
",5
"郑哲民，朝鲜职业足球运动员，入选过朝鲜国家少年足球队、朝鲜国家奥运足球队、朝鲜国家青年足球队及朝鲜国家足球队。
",0
"懿安皇后郭贵妃岐阳庄淑公主不详不详杜悰。
",1
"此时奇迹产生，王子手拿酒杯说我赤松德赞是汉裔，你尺邦萨奈我何说完便朝金城公主走去。
",3
"在伦敦，通过在巴黎学习的威廉钱伯斯爵士、克利斯沃尤的学生罗伯特亚当和雅典人詹姆斯斯图尔特，后来的英国建筑师，例如亨利荷兰、小乔治堂斯、詹姆斯怀亚特、托马斯哈里森和约翰索恩爵士在英国发展了这种风格。
",0
"1278年，陈圣宗让位给皇太子陈昑，是为陈仁宗，尊陈氏韶为元圣天感皇太后，到1287年去世。
",2
"彼得希格斯后来获得伦敦国王学院物理学位，并成为爱丁堡大学研究员，也曾在伦敦帝国学院及伦敦大学学院任职。
",5
"立哀姜妹妹与鲁庄公的儿子公子启方继位，就是鲁闵公。
",1
"7月8日         孔垂长会长夫妇参访北京大学儒学院，与汤一介先生在儒藏编纂与研究中心会议室会面，夫人乐黛云、儒学院的王博教授、李中华教授、杨立华教授出席会见。
",1
"孝明郑皇后，唐宪宗的妾侍、唐宣宗生母。
",1
"董芳卓职业生涯起于中国足球乙级联赛的哈尔滨毅腾足球俱乐部大连毅腾少年队。
",0
"汤川秀树日本首位诺贝尔奖得主，大坂大学理学博士，在坂大完成诺贝尔物理学奖的获奖研究。
",5
"细谷一郎，日本足球运动员，前日本国家足球队成员。
",0
"汤姆基博尔是英国物理学者，英国皇家学会院士，英国伦敦帝国学院布莱克特实验室的资深研究专家。
",6
"同年10月12日旧金山州立大学的天文学家杰佛瑞马西和加州大学柏克莱分校的保罗巴特勒使用美国加州利克天文台的汉密尔顿摄谱仪确认了这项发现。
",5
"2013年8月1日，华伦西亚同意将苏达度卖给英格兰足球超级联赛英超球队托定咸热刺足球会热刺，转会费高达二千六百万英磅磅。
",0
"除了外尔和爱丁顿之外，乔治勒梅特1933年在剑桥大学剑桥提出的观点也影响了狄拉克。
",5
"2006年，邓兆尊与其妹邓小艾和其弟邓兆荣，突然一起出席母亲洪金梅的寿宴，并声称与母已经和好如初。
",2
"姚莹莹赵姬朱姬华贵夫人秦庄襄王遗孀、嬴政之母先后和吕不韦、嫪毐私通嫪毐被嬴政处死时自杀。
",1
"山姆雷米从密西根州立大学毕业后，邀集好友劳勃泰普特和布鲁斯坎贝尔共同成立文艺复兴影业。
",0
"嶋谷征四郎，日本足球运动员，前日本国家足球队成员。
",0
"裴徽的伯父裴虚己是唐睿宗之女霍国公主的驸马，裴徽的叔父裴竑是唐玄宗女新平公主的驸马，裴竑的儿子裴彷是唐代宗女永清公主的驸马，一门五驸马。
",1
"河野和久，日本足球运动员，前日本国家足球队成员。
",0
"蒙泰尔是昂利勒贝格与埃米尔博雷尔在索邦大学的学生。
",5
"而在1月份，克莱奥和保罗马科斯德约苏斯里贝罗保隆分别被租借到日本和巴西球队，加上此前转会到武汉卓尔职业足球俱乐部武汉卓尔的赵源熙，球队本赛季的外援调整全部完成。
",0
"碓井博行，日本足球运动员，前日本国家足球队成员。
",0
"南韩最大反对党大国家党党主席，也是南韩已故总统朴正熙女儿朴槿惠，在助选时遭袭脸部受伤。
",3
"奈的职业生涯开始于西雅图的波音波音公司，他在此曾参与拍摄训练影片及研发现仍用于波音747中的液压共振抑制机械，后来他担任航空工程的专业咨询顾问。
",5
"马赞德纳是一位巴勒斯坦籍的路透社摄影师，用了10年去调查及报道在约旦河西岸地区希伯仑发生的以巴冲突。
",0
"埃里克坎德尔，生于奥地利维也纳，后移居美国。
",0
"2008年10月4日，夏征农逝世于上海华东医院，享年104岁。
",6
"陈胜宏之妻薛凌讽刺，若该工作室想找她和萧美琴为非常报导2007年第一辑代言，早说嘛，可以少收一点代言费，但不要拿不实指控宣传。
",1
"蔡惠媚对蒋孝武的骤逝始终无法接受。
",1
"孙泰，三国时期人物，孙匡之子。
",3
"兹德涅克波斯皮耶赫，捷克足球运动员，司职后卫 后卫，现效力于德甲球会美因茨05足球俱乐部缅恩斯。
",0
"欧洲议会选举约瑟夫联盟德巴孔任主席党卡萨武布。
",6
"迪文唐森德是加拿大的一位着名的音乐家和音乐制作人。
",0
"马高禾尔菲，是一名瑞士足球运动员，司职守门员，目前效力瑞士足球超级联赛瑞超球队年轻人，他与球队的合同直至2012年6月届满。
",0
"奴日松贡布是墨竹工卡县羊日岗寺在拉萨的分寺。
",3
"三笠宫崇仁亲王，日本皇族中现存最年长的男性，大正天皇和贞明皇后的第四皇子，昭和天皇幼弟、当今天皇明仁的叔父。
",2
"1796年3月2日，26岁的拿破仑被任命为法国意大利方面军总司令，3月9日，与情人约瑟菲娜德博阿尔内结婚，之后便匆匆奔赴前线。
",2
"这同时也使拿破仑路易成了他叔叔皇帝拿破仑一世的长侄，在皇帝当时有没有孩子的情况下有可能成为最终的继任者，直到1811年3月20日，拿破仑一世皇帝的第二个妻子玛丽路易莎奥地利大公玛丽路易丝，生下了一个儿子，也就是被称作罗马国王和莱希斯塔德公爵的拿破仑二世拿破仑弗朗索瓦约瑟夫夏尔波拿巴。
",2
"珍西摩在产后恢复迅速，送出先前签署的文件，正式宣布由国王陛下与我们之间至为合法婚姻所孕育的王子的诞生。
",2
"曹宰榛是一位韩国足球运动员，位置前锋 前锋。
",0
"2001年，埃基科和比利时球队蒂尔瑙特足球俱乐部蒂尔瑙特签约，之后他的大部分职业生涯都在比利时度过，巅峰时期曾经效力于韦斯特洛足球俱乐部韦斯特洛和皇家安特卫普足球俱乐部皇家安特卫普。
",6
"1981年香港电视广播有限公司电视剧女黑侠木兰花，由赵雅芝、黄锦燊、杨盼盼、曾江等主演。
",1
"阿佛洛狄忒所爱慕的是战神阿瑞斯，并和阿瑞斯生下爱情之神厄洛斯、协调女神哈耳摩尼亚 哈耳摩尼亚和一对双胞胎，分别是恐怖之神福波斯和恐惧之神得摩斯等几个儿女。
",3
