Id,Entity_1,Entity_2,Property
179,中岛一生,加拿大,birthPlace
180,梶野智,爱知县,birthPlace
181,江杓,上海市,birthPlace
182,森山佳郎,日本,birthPlace
183,佐藤英二,日本,birthPlace
184,高木琢也,日本,birthPlace
185,史蒂夫·诺瓦克,威斯康星州,birthPlace
186,约翰·赫维留,波兰立陶宛联邦,birthPlace
187,克劳迪奥·雅库布,阿根廷,birthPlace
188,高岛彩,北川悠仁,spouse
189,劳勃·韦纳,娜妲丽华,spouse
190,吴彦晟,中国,birthPlace
191,大卫·莱昂斯,澳洲,birthPlace
192,康纳·威克姆,赫里福德,birthPlace
193,保罗·恩里克·甘索,巴西,birthPlace
194,粟周熊,贵州省,birthPlace
195,钟马田,加的夫,birthPlace
196,于正昇,王中璇,spouse
197,中村直志,日本,birthPlace
198,维克多·奥比纳,乔斯,birthPlace
199,庇护一世,阿奎莱亚,birthPlace
200,路易斯·轩历基,巴西,birthPlace
201,马唯中,马英九,parent
202,霍英东,元配,spouse
203,玛定四世,图赖讷,birthPlace
204,鬻姒,齐景公,spouse
205,陈致中,吴淑珍,parent
206,葛原亲王,土佐大目泰福代,spouse
207,保罗·加斯科因,盖兹黑德,birthPlace
208,卢慕贞,孙中山,spouse
209,阿穆尔·穆萨,埃及王国,birthPlace
210,达沃·苏克,奥西耶克,birthPlace
211,贾斯汀·里德,密西西比州,birthPlace
212,哈康王储,宋雅王后,parent
213,何晓乐,北京,birthPlace
214,黎显宗,柔顺皇后,parent
215,谷真一郎,日本,birthPlace
216,麦斯·基顿,克鲁,birthPlace
217,章含之,洪君彦,spouse
218,赵庄姬,赵朔,spouse
219,小林大悟,静冈县,birthPlace
220,第四世达赖喇嘛,蒙古,birthPlace
221,冈野雅行,日本,birthPlace
222,丰国公,阮福俛孤,child
223,保明亲王,朱雀天皇,sibling
224,曹健,钱璐,spouse
225,马丁·史瓦西,普林斯顿大学,workPlace
226,罗慕路斯与雷穆斯,罗马市,deathPlace
227,布莱克·爱德华,加州,deathPlace
228,赵本山,葛淑珍,spouse
229,林惠,晔晔,sibling
230,阮福景,阮福曦,sibling
231,耶律延寿,耶律延禧,sibling
232,曹昂,曹熊,sibling
233,藤田慎一,大坂府,birthPlace
234,米基·圣荷西,潘普洛纳,birthPlace
235,王冶坪,江绵康,child
236,亚历山大·塞尔科克,法夫,birthPlace
237,保坂司,山梨县,birthPlace
238,南部信直,秋田季隆,child
239,珍·史塔波顿,约翰·帕奇,child
240,曾宝仪,王美华,parent
241,当知项欠,中华人民共和国,birthPlace
242,中山雅史,日本,birthPlace
243,赵侗,河北,deathPlace
244,董芳卓,大连,birthPlace
245,玄妻,寒豷,child
246,向坤功,尚永王,spouse
247,宁嫔金氏,朝鲜肃宗,spouse
248,乔丹·希尔,南卡罗来纳州,birthPlace
249,杜聪明,杜祖智,child
250,博义王,华顶宫博信王,sibling
251,乔万娜二世,达尔马提亚王国,birthPlace
252,塔拜,费扬果,sibling
253,佐佐木道誉,佐佐木秀宗,child
254,周务学,周履忠,child
255,李民骐,约克大学,workPlace
256,金明哲,朝鲜,birthPlace
257,章乃器,章立凡,child
258,黎文悦,黎文丰,sibling
259,萧岩,西梁,birthPlace
260,西萨旺·冯,通西,parent
261,靴里奴·高美斯,巴西,birthPlace
262,韩国魏国大长公主,赵颜,sibling
263,王羲之,王孟姜,child
264,高圆宫宪仁亲王,宪仁亲王妃久子,spouse
265,秦仁昌,北京市,deathPlace
266,瑛太,木村KAELA,spouse
267,香川幸,日本,birthPlace
268,全雨根,韩国,birthPlace
269,后藤义一,日本,birthPlace
270,高桥宏幸,日本,birthPlace
271,沃纳·亚伯,日内瓦大学,workPlace
272,梶山洋一,日本,birthPlace
273,哥伦·史坦高夫斯基,斯科普里,birthPlace
274,申师任堂,李瑀,child
275,渡边弥之助,日本,birthPlace
276,克劳迪奥·马尔基西奥,都灵,birthPlace
277,和田润,日本,birthPlace
278,水野隆,日本,birthPlace
279,陈立夫,孙禄卿,spouse
280,埃尔纳内斯,累西腓,birthPlace
281,江口伦司,日本,birthPlace
282,赫费斯提翁,马其顿王国,birthPlace
283,君士坦提乌斯一世,克劳狄亚,parent
284,阿努律陀,爱嘎玛黑蒂,spouse
285,雅典娜,狄俄倪索斯,sibling
286,曹昂,曹铄,sibling
287,松平赖重,德川纲条,child
288,蒂姆·德克勒,荷兰,birthPlace
289,佩德罗·维莱斯,墨西哥市,deathPlace
290,车杜里,西德,birthPlace
291,川野淳次,日本,birthPlace
292,李英宗,保圣皇太后,parent
293,古岛清人,日本,birthPlace
294,黄玮仪,宜兰,birthPlace
295,钟赤兵,北京,deathPlace
296,石惠君,金宝,parent
297,连胜文,蔡依珊,spouse
298,拉斯·阿尔福斯,赫尔辛基大学,workPlace
299,石祯禄,中华人民共和国,birthPlace
300,庾信,南朝梁,birthPlace
301,梁勇基,大坂府,birthPlace
302,马斯姆·罗马斯真高,明斯克,birthPlace
303,协和帝,绍治帝,parent
304,基里尔·科迪夫,索菲亚,birthPlace
305,中本邦治,日本,birthPlace
306,太田昌宏,日本,birthPlace
307,杨卓娜,杨志翘,spouse
308,提帮功王子,蒙西拉米·玛希敦·纳阿育他耶王储妃,parent
309,诺兰·布什内尔,犹他州,birthPlace
310,雅典娜,卡里忒斯,sibling
311,兰德尔·门罗,美国,birthPlace
312,乔治·斐兹杰惹,都柏林,birthPlace
313,王坦之,王国宝,child
314,林琼莺,台湾,birthPlace
315,乌汶叻公主,诗丽吉王后,parent
316,森山佳郎,熊本县,birthPlace
317,傅欢,上海,birthPlace
318,潘濂,纽约,deathPlace
319,居里奥·纳塔,米兰理工大学,workPlace
320,蓝宝石·詹森公主,乌汶叻公主,parent
321,高林敏夫,日本,birthPlace
322,达维·云达贝治,荷兰,birthPlace
323,李俊俋,陈佳慧,spouse
324,秦国鲁国大长公主,邓国公主,sibling
325,阿佛洛狄忒,雅典娜,sibling
326,高基衢,韩国,birthPlace
327,松平赖丰,榊原政祐,child
328,罗兰·比歌,纽约州,birthPlace
329,傅恒,孝贤纯皇后,sibling
330,阿尔达·图兰,土耳其,birthPlace
331,玛塔·路易斯公主,宋雅王后,parent
332,松山基范,山口大学,workPlace
333,第五代马奇伯爵埃德蒙·莫蒂默,马奇伯爵夫人阿丽亚诺尔·霍兰,parent
334,赵凤,后唐,deathPlace
335,西山孝朗,日本,birthPlace
336,岛津齐彬,岛津齐彬,sibling
337,黎桓,黎寞,parent
338,康宝文,香港,birthPlace
339,石井壮二郎,兵库县,birthPlace
340,泽入重雄,静冈县,birthPlace
341,实谛·赛·巴巴,英属印度,birthPlace
342,乙浑,北魏,birthPlace
343,钱达,台北市,birthPlace
344,费德里科·卡帕索,哈佛大学,workPlace
345,元静仪,崔括,spouse
346,苏永钦,彭凤至,spouse
347,奥多尔·梅涅特,维也纳大学,workPlace
348,陈万水,宋镇远,child
349,芦边拓,大坂府,birthPlace
350,毕堤·美,英格兰,deathPlace
351,波塞冬,忒修斯,child
352,王赓武,新加坡国立大学,workPlace
353,埃迪·芬内克·阿达米,玛丽·芬内克·阿达米,spouse
354,阿部正备,松平赖英,child
355,赫耳墨斯,堤喀,child
356,石川秀美,药丸裕英,spouse
357,帕斯卡尔·希姆邦达,法属圭亚那,birthPlace
358,阿里·里达,麦地那,birthPlace
359,文定王后,朝鲜明宗,child
360,维达尔·白兰士,埃罗省,birthPlace
361,尹蔚民,河北省,birthPlace
362,林俊生,中国,birthPlace
363,晋宁公主,崔夤,spouse
364,罗伯特·鲁宾逊,牛津大学,workPlace
365,冰冰,林楠,spouse
366,南部晴政,石川信直,child
367,耶律岩母菫,萧海里,spouse
368,郑根,郑柏,child
369,皮埃尔·维尔纳,卢森堡市,deathPlace
370,吴亮星,吴陈秀娴,spouse
371,蒲松龄,孺人,spouse
372,曾参,曾点,parent
373,关口训充,日本,birthPlace
374,玻丹·帕琴斯基,普林斯顿大学,workPlace
375,完颜兀鲁,完颜宗敏,sibling
376,思维二世,罗马市,deathPlace
377,平宗盛,平宽子,sibling
378,东浩纪,东京都,birthPlace
379,瑞贵人,清高宗,spouse
380,石黑昇,东京都,birthPlace
381,大塚拓,丸川珠代,spouse
382,施维奴·荷西·简鲁图,巴西,birthPlace
383,彭锦全,中国,birthPlace
384,赵元僖,卫国大长公主,sibling
385,内斯科·米洛万诺维奇,塞尔维亚,birthPlace
386,朗达玛,云丹,child
387,松尾翠,福永祐一,spouse
388,纯贞孝皇后,朝鲜纯宗,spouse
389,墨瑞·史瓦兹,纽约,birthPlace
390,本笃十五世,热那亚,birthPlace
391,速水奖,五十岚丽,spouse
392,同庆帝,裴氏清,parent
393,耶律擘失,耶律十哥,sibling
394,向栢窓,向象贤,sibling
395,李晓旭,辽宁省,birthPlace
396,清水直右卫门,广岛县,birthPlace
397,董卓,董累,child
398,武藤真一,日本,birthPlace
399,大卫·铃木,不列颠哥伦比亚大学,workPlace
400,吴乃群,辽阳市,birthPlace
401,高亨,北京市,deathPlace
402,庇护九世,宗座宫殿,deathPlace
403,陆抗,陆云,child
404,乔纳斯·索尔克,纽约,birthPlace
405,推古天皇,小垦田皇女,child
406,哥迪马·迪·苏沙,马卡乌巴斯,birthPlace
407,洪天照,洪天祥,sibling
408,马多克,美洲,deathPlace
409,上田忠彦,京都府,birthPlace
410,沙一博,中国,birthPlace
411,吴郡宣公主,褚澄,child
412,白川英树,大日本帝国,birthPlace
413,周神助,周巽正,child
414,高山忠雄,日本,birthPlace
415,倪少杰,陈楚云,spouse
416,阿部正敏,阿部正直,sibling
417,影山贵志,日本,birthPlace
418,第六世达赖喇嘛,青海湖,deathPlace
419,郑贵妃,云和公主,child
420,劳尔·加西亚,潘普洛纳,birthPlace
421,鲁武公,鲁献公,parent
422,奥托·海克曼,哥廷根大学,workPlace
423,渡边敦夫,东京都,birthPlace
424,黎纯宗,黎裕宗,parent
425,莫兰·库珀,奥斯威辛,birthPlace
426,下川健一,岐阜县,birthPlace
427,仁科芳雄,东京帝国大学,workPlace
428,黄宾虹,杭州市人民医院,deathPlace
429,李运秋,中华人民共和国,birthPlace
430,公遵法亲王,理秀女王,sibling
431,奕訢,荣寿固伦公主,child
432,乔治·华盛顿,马莎·华盛顿,spouse
433,埃里克·阿比达尔,里昂,birthPlace
434,北村邦夫,静冈县,birthPlace
435,赵旃,赵穿,parent
436,卡西奥·马加尔维斯·费尔南德斯,米纳库,birthPlace
437,声孟子,齐灵公,child
438,和硕敦恪公主,和硕温恪公主,sibling
439,苏菲·海伦·碧雅翠丝,玛丽·安托瓦内特,parent
440,文森佐·菲奥里洛,热那亚,birthPlace
441,孙正傲,中国,birthPlace
442,罗纳德·费雪,剑桥大学,workPlace
443,松平赖恕,德川齐脩,sibling
444,沙巴卡,卡施塔,parent
445,村冈博人,日本,birthPlace
446,任炜雄,中国,birthPlace
447,梁启超,梁思均,child
448,赫柏,厄勒梯亚,sibling
449,山崎理人,日本,birthPlace
450,水崎靖,静冈县,birthPlace
451,渡边隆正,东京都,birthPlace
452,黎懿宗,黎裕宗,parent
453,苏格兰的亨利,第二代亨廷顿伯爵夫人马蒂尔达,parent
454,武田治郎,日本,birthPlace
455,黎昭统帝,阮氏玉素,parent
456,保罗·德鲁德,柏林洪堡大学,workPlace
457,余皓然,王中平,spouse
458,中泽友秀,日本,birthPlace
459,仁孝文皇后,朱高煦,child
460,大山直大,香川县,birthPlace
461,赫斯提亚,得墨忒耳,sibling
462,范琦,中华人民共和国,birthPlace
463,里奇蒙和德比伯爵夫人玛格丽特·博福特,布莱措的玛格丽特·博尚,parent
464,李昭皇,灵慈国母,parent
465,尹荣善,韩国,birthPlace
466,金正恩,李雪主,spouse
467,水野遵,日本,deathPlace
468,车杜里,法兰克福,birthPlace
469,梶野智幸,日本,birthPlace
470,西尔万诺·肯维鲁斯,荷兰,birthPlace
471,魏惠王,魏武侯,parent
472,顶果钦哲,不丹,deathPlace
473,陈文屏,国立中央大学,workPlace
474,志尹南,朝鲜,birthPlace
475,宋若昭,宋若莘,sibling
476,让·勒雷,南锡大学,workPlace
477,约翰·内斯肯斯,海姆斯泰德,birthPlace
478,邱育宏,中华民国,birthPlace
479,加藤善之,日本,birthPlace
480,高奣映,高氏寿,child
481,小野隆仪,福岛县,birthPlace
482,耶律吕不古,萧绰,child
483,村松幸典,日本,birthPlace
484,达里奥·孔卡,阿根廷,birthPlace
485,娜汀·巴罗,中佛罗里达大学,workPlace
486,巴卡里·科内,阿比让,birthPlace
487,赤松德赞,赤德祖赞,parent
488,希达·希古臣,冰岛,birthPlace
489,姬娜·薛域,纽约市,birthPlace
490,聂涛,天津,birthPlace
491,马丁·施密特,加州理工学院,workPlace
492,颜骏凌,中华人民共和国,birthPlace
493,欧文·张伯伦,洛斯阿拉莫斯国家实验室,workPlace
494,高桥茂,日本,birthPlace
495,乔夫·爱德华兹,新泽西州,birthPlace
496,胡威威,中华人民共和国,birthPlace
497,谢尔盖·彼得罗维奇·卡皮察,俄罗斯科学院,workPlace
498,饭岛澄男,名古屋大学,workPlace
499,陆抗,陆玄,child
500,萨米尔·纳斯里,马赛,birthPlace
501,叶佳,中国,birthPlace
502,难波圭一,庄真由美,spouse
503,庆克,庆封,child
504,左孝虎,林文萍,spouse
505,梅里斯奥·胡礼,哥斯达黎加,birthPlace
506,西泽明训,静冈县,birthPlace
507,教宗玛尔定一世,翁布里亚,birthPlace
508,第四世达赖喇嘛,西藏,deathPlace
509,李远鹏,国立清华大学,workPlace
510,黎耀昌,香港,birthPlace
511,程海峰,上海,birthPlace
512,孙正华,苗华斌,spouse
513,雷定二世,教宗国,deathPlace
514,陆学善,北京,deathPlace
515,李贤宰,洪城郡,birthPlace
516,史蒂芬·恩佐济,科龙贝,birthPlace
517,文丁,帝乙,child
518,朝永振一郎,京都帝国大学,workPlace
519,岛津纲贵,岛津久东,child
520,歌地亚·雪花,马修·沃恩,spouse
521,山村美纱,东京都,deathPlace
522,道助入道亲王,礼子内亲王,sibling
523,桑德斯·麦克兰恩,芝加哥大学,workPlace
524,锺繇,锺毓,child
525,铃木章,冈山理科大学,workPlace
526,哈姆丹·本·穆罕默德·本·拉希德·阿勒马克图姆,希德·宾特·马克图姆·本·朱玛·阿勒马克图姆,parent
527,雅克·德米,巴黎,deathPlace
528,敬嬴,鲁宣公,child
529,恺撒里昂,克利奥帕特拉七世,parent
530,米度,开罗,birthPlace
531,川岛透,日本,birthPlace
532,武田直隆,静冈县,birthPlace
533,约书亚·雷诺兹,德文郡,birthPlace
534,日高宪敬,日本,birthPlace
535,拉玛六世,绍瓦蓬王太后,parent
536,阿鲁浑,海迷失哈敦,parent
537,诸葛亮,诸葛瞻,child
538,卡尔·斐迪南·科里,圣路易斯华盛顿大学,workPlace
539,郑武,杭州市,birthPlace
540,让·杜雅尔丹,法国,birthPlace
541,世叔申,大叔僖子,child
542,周怀政,并州,birthPlace
543,谢尔盖·尼古拉耶维奇·维诺格拉茨基,圣彼得堡音乐学院,workPlace
544,竹中穰,广岛县,birthPlace
545,川口能活,日本,birthPlace
546,曾庆红,王凤清,spouse
547,李垠,李玖,child
548,约翰·富兰克林·恩德斯,波士顿儿童医院,workPlace
549,芮沃寿,耶鲁大学,workPlace
550,中村洋仁,大坂府,birthPlace
551,森重达也,日本,birthPlace
552,陈睿宗,惇慈皇太妃,parent
553,吴君如,夏春秋,parent
554,杜明治·奥杜路,加纳,birthPlace
555,甘罗,下蔡,birthPlace
556,迫田沙织,日本,birthPlace
557,杨丽华,宇文娥英,child
558,谭倩红,林凤心,child
559,伦子女王,莲香院,sibling
560,里加·穆斯塔法,加纳,birthPlace
561,高福荣,丽江,birthPlace
562,信藤健仁,广岛县,birthPlace
563,神田文之,日本,birthPlace
564,比尔·盖茨,罗裡·约翰·盖茨,child
565,雅盖沃,雅德维加,spouse
566,哥迪奥·巴禾,韦路高,birthPlace
567,添·侯活,美国,birthPlace
568,大石悟司,静冈县,birthPlace
569,马国凤,国立中央大学,workPlace
570,织田信长,织田鹤,child
571,亨丽爱塔·勒维特,哈佛大学,workPlace
572,森岛宽晃,广岛县,birthPlace
573,伟大的于格,韦尔芒杜瓦的贝娅特丽丝,parent
574,大柴健二,山梨县,birthPlace
575,德川庆喜,德川唯姬,sibling
576,江世禄,台北,birthPlace
577,公启法亲王,伦子女王,sibling
578,弗里茨·兹威基,加州理工学院,workPlace
579,织田信秀,织田信治,child
580,修罗,阿奴律陀,parent
581,曾至孝,香港,birthPlace
582,青嶋文明,静冈县,birthPlace
583,韩旭,北京,birthPlace
584,雅典娜,赫尔墨斯,sibling
585,贝蒂·米勒,火奴鲁鲁,birthPlace
586,小井土正亮,岐阜县,birthPlace
587,汤马士·古斯锡,克洛斯诺·奥德尔赞斯基,birthPlace
588,本山茂辰,本山茂直,child
589,徐怀谦,北京市,deathPlace
590,斋藤克幸,福岛县,birthPlace
591,克明亲王,源正雅,child
592,姬鹏飞,许寒冰,spouse
593,桓冲,桓豁,sibling
594,德马克·约翰逊,北卡罗来纳州,birthPlace
595,郑裕彤,周翠英,spouse
596,安妮·博林,伊莉莎白·波林,parent
597,卢保亚,厄瓜多尔,birthPlace
598,横山正文,日本,birthPlace
599,大村和市郎,日本,birthPlace
600,佩德罗·恩里克·马丁斯,圣保罗,birthPlace
601,诗丽吉·詹森公主,乌汶叻公主,parent
602,路德维希·希尔伯特,莱比锡大学,workPlace
603,秦国鲁国大长公主,豫国公主,sibling
604,叔仲小,叔仲志,child
605,河野和久,日本,birthPlace
606,亨利·诺利斯·罗素,普林斯顿大学,workPlace
607,小池知己,日本,birthPlace
608,郑杠,郑槰,child
609,温玄烨,黄美玲,parent
610,何超琼,许晋亨,spouse
611,蔡时那,金泰旭,spouse
612,织田信行,织田信长,sibling
613,马修·德比希,法国,birthPlace
614,吕昆錡,台南县,birthPlace
615,宫田孝治,日本,birthPlace
616,李哲民,平壤,birthPlace
617,拔都,术赤,parent
618,于素秋,于占元,parent
619,山崎洋子,京都府,birthPlace
620,中川郁子,中川昭一,spouse
621,德川宗尹,德川治济,child
622,罗马里奥,巴西,birthPlace
623,巴巴罗萨·海雷丁帕夏,莱斯博斯岛,birthPlace
624,威尔·布雷洛克,马萨诸塞州,birthPlace
625,松田浩,日本,birthPlace
626,原博实,日本,birthPlace
627,云拿保,乌德勒支,birthPlace
628,路易斯·罗梅罗,蒙得维的亚,birthPlace
629,尾上惠生,日本,birthPlace
630,北畠具教,长野藤定,child
631,祖奥·保罗·法比奥,巴西,birthPlace
632,古斯塔夫五世,奥斯卡二世,parent
633,巴布海,清太祖皇五女,sibling
634,穆库什,巴布海,sibling
635,大卫·迪基亚,马德里,birthPlace
636,日高宪敬,东京,birthPlace
637,吴彦晟,上海,birthPlace
638,于涛,上海,birthPlace
639,阿肯那顿,娜芙蒂蒂,spouse
640,马高明,山东,birthPlace
641,山崎实,密歇根州,deathPlace
642,袁耽,袁女皇,sibling
643,金力,复旦大学,workPlace
644,叔仲带,叔仲亥,parent
645,千百惠,高大林,spouse
646,卡尔·哈庚,罗彻斯特大学,workPlace
647,艾兹赫尔·戴克斯特拉,得克萨斯州大学奥斯汀分校,workPlace
648,玛琳娜·茨维塔耶娃,苏联,deathPlace
649,保坂司,日本,birthPlace
650,金致佑,韩国,birthPlace
651,阿斯玛·阿萨德,巴沙尔·阿萨德,spouse
652,克律西波斯,雅典,deathPlace
653,斐迪南六世,萨伏依的玛丽·路易莎,parent
654,藤田慎一,日本,birthPlace
655,都并敏史,东京,birthPlace
656,赤德松赞,赤祖德赞,child
657,信修浮,德贡,deathPlace
658,普里阿普斯,厄洛斯,sibling
659,赫耳墨斯,阿佛洛狄忒,sibling
660,蒲松龄,蒲兆箕,sibling
661,德川宗武,德川小次郎,child
662,德川宗尹,德川仙之助,child
663,法兰·费丁,布莱克本,birthPlace
664,朱拉蓬公主,诗丽吉王后,parent
665,德德里克·博亚塔,于克勒,birthPlace
666,汤古代,清太祖皇八女,sibling
667,陈岸立,台北市立天文科学教育馆,workPlace
668,西泽明训,日本,birthPlace
669,松平赖仪,松平赖恕,child
670,吉尔伯特·牛顿·路易士,柏克莱加州大学,workPlace
671,李学鹏,大连,birthPlace
672,王文洋,陈静文,spouse
673,胡善祥,明宣宗,spouse
674,阿米尔·沙菲亚,约旦,birthPlace
675,岛津纲贵,岛津久智,child
676,森山泰行,岐阜县,birthPlace
677,拾得,国清寺,workPlace
678,原田武男,日本,birthPlace
679,泰伊王后,图玉,parent
680,法维奥·巴路士·苏沙,里约热内卢,birthPlace
681,欧文·理查森,伦敦国王学院,workPlace
682,玄珍公主,陈英宗,sibling
